Month,Number of Tweets
January 2020,184
February 2020,225
March 2020,247
April 2020,387
May 2020,376
June 2020,249
July 2020,446
August 2020,292
September 2020,215
October 2020,284
November 2020,281
December 2020,186
January 2021,222
February 2021,204
March 2021,229
April 2021,244
May 2021,192
June 2021,210
July 2021,388
August 2021,235
September 2021,263
October 2021,289
November 2021,317
December 2021,346
January 2022,217
February 2022,264
March 2022,272
April 2022,342
May 2022,593
June 2022,353
July 2022,323
August 2022,261
September 2022,268
October 2022,543
November 2022,952
December 2022,1002
January 2023,612
February 2023,765
March 2023,811
April 2023,1172
May 2023,1075
June 2023,1001
July 2023,841
August 2023,917
September 2023,933
October 2023,824
November 2023,909
December 2023,831
January 2024,968
February 2024,1030
March 2024,1483
April 2024,1161
May 2024,980
June 2024,835
July 2024,1324
August 2024,1219
September 2024,1536
October 2024,2041
November 2024,2421
December 2024,1940
January 2025,1740
February 2025,2144
March 2025,2039

